,customer_id,supplier_product_id,complete_description,supplier_customer_id,term,is_correct
0,ac29ec7b-2cf9-4b89-a4e9-5490756f5842,63d97cd1c582ac4545890da0,BENEGRIP DISPLAY 25 BL X 6 COMP REV,63dc06f5dfc2cc61ae43227c,Benegrip display,4
1,ac29ec7b-2cf9-4b89-a4e9-5490756f5842,63d97cdcc582ac4545890f2b,NENE-DENT GEL 10G X 1 - NOVO,63dc06f5dfc2cc61ae43227c,7 nenê dente,1
2,ac29ec7b-2cf9-4b89-a4e9-5490756f5842,63d97ce7c582ac45458910c2,ENGOV DISPLAY 25 ENV X 6 COMP,63dc06f5dfc2cc61ae43227c,Engov display,3
3,ac29ec7b-2cf9-4b89-a4e9-5490756f5842,63d97cdcc582ac4545890f2b,NENE-DENT GEL 10G X 1 - NOVO,63dc06f5dfc2cc61ae43227c,nenê dente,3
4,ac29ec7b-2cf9-4b89-a4e9-5490756f5842,63d97cd63ea6f313a41a6c5e,BUSCOPAN COMPOSTO 10MG+250MG 20 CPR REV,63dc06f5dfc2cc61ae43227c,Buscopan composto cpr,1
5,ac29ec7b-2cf9-4b89-a4e9-5490756f5842,63d97cf23ea6f313a41a7138,NEOSALDINA DRAG X 200 (50X4),63dc06f5dfc2cc61ae43227c,Neosaldina display 50x4,1
6,ac29ec7b-2cf9-4b89-a4e9-5490756f5842,63d97cd23ea6f313a41a6bb1,BENEGRIP MULTI SOLU OR FR 240ML,63dc06f5dfc2cc61ae43227c,Benegrip multi sol or,4
7,ac29ec7b-2cf9-4b89-a4e9-5490756f5842,63d97cd53ea6f313a41a6c35,BUSCOPAN COMPOSTO CPR REVEST X 20 - NOVO,63dc06f5dfc2cc61ae43227c,Buscopan composto comprimidos,1
8,ac29ec7b-2cf9-4b89-a4e9-5490756f5842,63d97cf3c582ac45458912d7,CORISTINA D PRO CP BL X 200 (50X4),63dc06f5dfc2cc61ae43227c,coristina D 50x4,3
9,ac29ec7b-2cf9-4b89-a4e9-5490756f5842,63d97cf3c582ac45458912d7,CORISTINA D PRO CP BL X 200 (50X4),63dc06f5dfc2cc61ae43227c,Coristina D 50x4,1
10,d688a1fe-9e68-4093-ac43-4745395ae822,63d97ce23ea6f313a41a6e6b,ENGOV ENV 4X6 COMP,63da684cb2754a2b6ce2b4e2,Engov caixa,1
